Country Name,Adjusted savings: education expenditure (% of GNI),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Fertility rate, total (births per woman)",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Merchandise exports by the reporting economy (current US$),"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise imports by the reporting economy (current US$),"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),Population density (people per sq. km of land area),Population growth (annual %),"Population, total","Preprimary education, duration (years)","Primary education, duration (years)",Rural population,Rural population (% of total population),Rural population growth (annual %),Scientific and technical journal articles,"Secondary education, duration (years)",Surface area (sq. km),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Urban population,Urban population (% of total population),Urban population growth (annual %)
Afghanistan,2.351076211934197,157.71,48.376,12.03433333333333,7.552,652860.0,56.64233333333333,54.208666666666666,55.37433333333334,149381996.20000002,-6.799491017001576e-09,35.5336007907112,1.717672162413135,23.830018032700497,531511678.2,16.47242847639349,32.4747492715474,8.635091114639279,33.26073608071613,30.986001082416866,2.3642701154328667,20229520.666666668,1.0,6.0,15781472.666666666,78.01366666666667,2.2476900982315198,4.0,6.0,652860.0,53.41438879999999,47.5163616,4448048.0,21.986333333333334,2.7790170503466167
Albania,2.8653199965244966,19.1348,17.331666666666667,5.9879999999999995,2.2456666666666667,27400.0,76.61266666666667,70.79633333333334,73.58333333333333,246019475.13333333,1.231992402882763,96.4275858499593,0.0142096077789969,0.147389290465,929088660.7666668,0.399838898407122,86.21363787071472,0.6115025967320746,1.6585732473209536,113.45906326034066,-0.6333478334855517,3108778.3333333335,3.0,4.0,1828959.0,58.82966666666666,-1.5954399365489633,22.34,8.0,28750.0,87.21536099999999,77.406743,1279819.3333333333,41.17033333333333,0.75765918183806
Algeria,4.4671956,12.7934,20.267333333333337,5.053,2.6483333333333334,2381740.0,71.64533333333333,68.78433333333334,70.18933333333332,14906339973.0,0.08918657825108828,84.15080096063339,0.23915917494798988,14.326708167834132,9196313132.666666,0.11589878897668417,82.10637644827649,3.73582452800817,16.086790125418265,12.855922560816898,1.4251864149862266,30619465.0,2.0,6.0,12515984.0,40.883333333333326,-0.4936750136963656,387.13,6.0,2381740.0,78.0384518,72.1806302,18103481.0,59.116666666666674,2.7733123916201268
Angola,2.92993,198.6328,48.300999999999995,18.382,6.684666666666666,1246700.0,48.298,44.107,46.126000000000005,8576825470.666667,0.18740021113337604,85.97374140954986,8.169914297546994,11.10233496149958,2350547792.6666665,9.724095648406516,67.03040739044924,3.6811313831262935,13.064944025132867,12.732799390390598,3.2517974510943866,15873981.0,6.5,4.0,8107817.666666667,51.102000000000004,0.95403706940602,7.17,7.0,1246700.0,42.734084800000005,34.0712618,7766163.333333333,48.897999999999996,5.710855315739174
Antigua and Barbuda,3.469215666666667,63.1112,19.911,6.332333333333334,2.2006666666666668,440.0,75.15,72.165,73.70333333333333,342121642.0,16.4657502140715,78.20663388491509,0.0422741452877746,5.327615901013361,1149547490.0,27.2675545574894,61.2787992777923,1.39093487995002,11.453646164718302,169.63181818181798,1.9465770129834967,74638.0,4.0,7.0,50390.666666666664,67.50933333333334,2.48816170960945,0.25,5.0,440.0,83.6885158,73.84580419999999,24247.333333333332,32.49066666666666,0.8305606945582746
Arab World,5.18980565427957,55.293948756779706,29.167513650131966,6.54779705471924,3.947766761304953,11235431.000061,69.4220732576225,65.72844483860376,67.512123841794,172876073774.06033,6.295695339418753,70.73591880860486,7.20650338257816,21.047987992346734,153348034910.72665,3.2189873059821337,74.27459226615616,7.392545164682876,20.087707858755266,24.6041234494548,2.158571682905144,276437931.3333333,2.0,6.0,130628307.66666667,47.25761139518513,1.6385828079773868,8706.12278085886,6.0,11275961.000061,74.77649960631958,67.10218082736607,145809623.66666666,52.74238860481487,2.6289286055187997
Argentina,4.329865834122656,67.5038,19.715333333333337,7.861999999999999,2.579,2736690.0,76.807,69.948,73.395,25163491480.333332,2.283296537050874,47.449125343674105,4.565866383139823,14.639987310875199,27550436200.333332,2.6131135269866097,60.81235931839347,5.83060912263538,8.835323548916676,13.325277859993866,1.1154015012632335,36467154.666666664,6.0,6.0,4028740.3333333335,11.049,-0.6134069977298037,4385.98,6.0,2780400.0,83.7405872,71.2677724,32438414.333333332,88.95100000000001,1.3322403101445832
Armenia,2.27256965714286,42.89240000000001,13.143,8.593333333333332,1.6933333333333334,28470.0,74.06066666666666,67.56,70.92899999999999,251274513.66666666,5.968086131908209,51.381203017866234,0.22095278868007984,13.799025663410065,876596130.6666666,3.22250082394168,55.49983078977797,0.7652418641059763,10.969092414095305,108.50368809272932,-0.6825030291915374,3089100.0,4.0,3.0,1082806.3333333333,35.053666666666665,0.11757660550049176,346.29,7.0,29740.0,80.9858888,66.57639520000001,2006293.6666666667,64.94633333333333,-1.1116927368881533
Australia,4.78817,18.4394,13.133333333333333,6.766666666666667,1.7576666666666665,7682300.0,81.76666666666667,76.23333333333333,78.93252032520327,58590384296.0,3.8273521636868466,73.07507190350869,14.68327787962003,23.09757593280447,70119234105.66667,1.2042873450609133,77.50764671137107,18.172361870957,21.288065943568,2.464105801647943,1.12567107549484,18930000.0,2.5,7.0,2959082.6666666665,15.630666666666668,1.9845041188490233,23275.99,6.0,7741220.0,90.8588828,84.48451219999998,15970917.333333334,84.36933333333333,0.9673657212712321
Austria,5.62006652736331,14.211800000000002,9.933333333333334,9.733333333333334,1.3566666666666667,82580.0,81.06666666666666,74.86666666666667,77.89105691056913,64951351641.0,0.46708505235263503,91.97956078479011,1.4895202811507666,7.5533541628573,70123834685.33333,0.2907954499126581,92.7886717494125,1.7237217525066264,6.920532800674834,96.79776782110275,0.1815860579374887,7993559.666666667,6.0,4.0,3158234.3333333335,39.50933333333333,0.886028911065282,6577.35,8.0,83879.00390625,90.1562998,80.4587224,4835325.333333333,60.49066666666667,-0.275852158616633
