"","dem.BirthRate","dem.AdolescentFertRate.var","dem.MortalityUnder5","hs.GovHealthExpend","hs.BasicSanitation","eco.AgeDependancyRate","dem.DeathRate.var","dem.LifeExpectancy","sci.EduExpense","eco.CO2Emissions","dem.MortalityUnder5.var","dem.PopGrowth","hs.DrinkingWater","dem.BirthRate.var","clust_names"
"Afghanistan - 2008",42.921,-3.9318,99.53333333,1.833552122,30.4157442,101.5499284,-0.357,59.377,2.704523841,0.099347083,-4.166666667,2.584199179,40.85519921,-0.949,1
"Afghanistan - 2012",38.75633333,-6.459,83.93333333,2.551074187,35.46136337,100.0654103,-0.306333333,61.545,2.636243639,0.347186877,-3.666666667,3.099096385,50.93845718,-1.072666667,1
"Afghanistan - 2016",34.832,-6.368,70.53333333,3.070028941,40.71227396,90.18167447,-0.203666667,63.36866667,2.723722689,0.253795026,-3.066666667,3.070327555,61.55821522,-0.874,1
"Albania - 2004",14.073,-0.077,22.9,51.44526672,90.67458741,56.31097463,0.077,74.81533333,2.955383983,1.339483547,-1.5,-0.363985748,87.92635293,-0.717,1
"Albania - 2008",12.163,0.1002,17.13333333,115.4764557,93.59641005,51.65887062,0.146,75.66033333,3.045447969,1.369740787,-1.366666667,-0.717990986,87.90929486,-0.235,1
"Albania - 2012",12.09933333,0.4546,12.16666667,180.190684,96.17763452,48.20968227,0.076333333,76.90933333,3.135511955,1.693417955,-1.033333333,-0.310210112,87.81068495,0.098333333,1
"Albania - 2016",12.17866667,-0.2176,9.633333333,183.432134,97.69092182,45.65670523,0.154333333,78.01066667,3.283075065,1.693293456,-0.266666667,-0.219377733,91.00086564,-0.080333333,1
"Algeria - 2004",19.63466667,0.0014,36.46666667,57.7940534,84.71186665,55.59278449,-0.053666667,72.1,4.4671956,2.789365612,-1.333333333,1.289608789,90.65317304,0.364666667,1
"Algeria - 2008",22.41066667,0.125533333,30.8,110.9733734,85.84371167,49.66941696,-0.008666667,73.92266667,4.4671956,3.126552346,-1.3,1.552899409,91.67466022,0.828666667,1
"Algeria - 2012",24.89466667,0.3738,26.76666667,201.4432119,86.76760634,49.22195099,0.014333333,75.191,4.4671956,3.365079988,-0.633333333,1.879915913,92.61475957,0.390666667,1
"Algeria - 2016",25.423,-0.297,25.16666667,212.8901672,87.45725577,52.84366386,0.004666667,76.08866667,4.4671956,3.763171781,-0.333333333,2.043444759,93.41924025,-0.115,1
"Angola - 2004",47.77866667,-2.3206,182.9,15.59352303,31.8563067,98.45814001,-0.585,48.46833333,2.765,0.741687463,-8,3.387027204,44.3640025,-0.132333333,1
"Angola - 2008",46.89933333,-2.469,146.8,59.28964615,37.25936503,97.84449456,-0.726,52.18766667,2.7975,1.164384507,-9.4,3.670247084,47.9607,-0.315666667,1
"Angola - 2012",45.08366667,-2.7658,112.5333333,72.96014913,42.32631037,97.92382027,-0.623333333,56.30533333,3.57,1.289365737,-7.766666667,3.634465112,51.17340632,-0.572333333,1
"Angola - 2016",42.528,-3.3748,88.46666667,54.95120112,47.3731517,97.60201077,-0.38,59.36633333,3.57,1.369282259,-4.533333333,3.438205403,54.31423735,-0.654,1
"Argentina - 2008",18.47333333,-0.1074,15.7,318.2696788,90.93031841,58.21583773,-0.013333333,74.78633333,3.93,4.532552289,-0.4,1.002297901,97.84091447,-0.122666667,1
"Argentina - 2012",18.05266667,0.1258,13.86666667,715.4813232,93.1820089,56.57896842,-0.014,75.43833333,4.8669603,4.625390069,-0.533333333,1.014059342,98.66512257,-0.101333333,1
"Argentina - 2016",17.543,-0.157,11.5,853.1145426,94.23146816,56.13937178,-0.012666667,76.06733333,5.139282478,4.623775277,-0.6,1.078214671,99.04958624,-0.155,3
"Armenia - 2004",13.53866667,-0.9216,26.43333333,11.94170729,88.08819756,52.41052591,0.138666667,72.32433333,2.484086686,1.117991129,-1.366666667,-0.550485043,96.03189607,0.330666667,1
"Armenia - 2008",14.83566667,-0.8106,21.6,48.18874741,89.72640963,47.33986656,0.143666667,72.82566667,2.695603714,1.704591103,-1.1,-0.833828651,97.29420012,0.263666667,1
"Armenia - 2012",15.27766667,-0.5886,17.6,57.14177704,91.37581086,43.59546768,0.012,73.57433333,2.907120743,1.715683415,-0.9,-0.04461522,98.5961287,-0.026333333,1
"Armenia - 2016",14.78066667,-0.6704,14.4,59.14476395,93.03320637,44.86140913,0.026666667,74.46,2.41377355,1.765566499,-0.7,0.440685024,99.74206981,-0.198333333,1
